11; 2016.10.31; 1; ПСИХОЛОГІЯ(ПР)Д; викл.ПРОКОФ'ЄВАЛ.О.
11; 2016.10.31; 2; ВСТУПДОСПЕЦІАЛЬНОСТІ(ПР); викл.ТРИШИНВ.В.
11; 2016.10.31; 4; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(ПР); викл.ВОЛКАНОВАН.В.
11; 2016.11.01; 1; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(+ФУФСН); викл.БАШЛИМ.І.
11; 2016.11.01; 2; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.ЯРЧУКГ.В.,ДОЦ.МЕЛЬНИЧУКІ.П.
11; 2016.11.01; 4; ВСТУПДОСПЕЦІАЛЬНОСТІ(ПР); викл.ТРИШИНВ.В.
11; 2016.11.01; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; доц.МЕЛЬНИЧУКІ.П.
11; 2016.11.02; 1; АНГЛІЙСЬКА; мова
11; 2016.11.02; 2; ВИЩАМАТЕМАТИКА; викл.ЩОГОЛЕВАТ.М.
11; 2016.11.02; 3; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
11; 2016.11.02; 4; ПСИХОЛОГІЯ(ПР)Д; викл.ПРОКОФ'ЄВАЛ.О.
11; 2016.11.03; 2; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
11; 2016.11.03; 3; ПСИХОЛОГІЯ; доц.ТЕРЕЩУКР.К.(+ФУФСН+ІНФАК)
11; 2016.11.04; 1; АНГЛІЙСЬКА; мова
11; 2016.11.04; 2; ВИЩАМАТЕМАТИКА; викл.ЩОГОЛЕВАТ.М.
11; 2016.11.04; 3; АНГЛІЙСЬКА; мова
13; 2016.10.31; 2; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
13; 2016.10.31; 3; ПОЛІЕКОНОМІЯ; доц.КРИВОРАКА.Д.
13; 2016.11.01; 1; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(+ФУФСН); викл.БАШЛИМ.І.
13; 2016.11.01; 2; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.ЯРЧУКГ.В.,ДОЦ.МЕЛЬНИЧУКІ.П.
13; 2016.11.01; 3; МАТЕМАТИКАДЛЯЕКОНОМ.; викл.ЩОГОЛЄВАТ.М.
13; 2016.11.01; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; доц.МЕЛЬНИЧУКІ.П.
13; 2016.11.02; 1; АНГЛІЙСЬКА; мова
13; 2016.11.02; 2; ПОЛІЕКОНОМІЯ; доц.КРИВОРАКА.Д.
13; 2016.11.02; 3; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(ПР); викл.ВОЛКАНОВАН.В.
13; 2016.11.03; 3; ПОЛІЕКОНОМІЯ; доц.КРИВОРАКА.Д.
13; 2016.11.03; 4; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
13; 2016.11.03; 5; ВСТУПДОФАХУ; доц.КРИВОРАКА.Д.
13; 2016.11.03; 6; МАТЕМАТИКАДЛЯЕКОНОМ.; викл.ЩОГОЛЄВАТ.М.
13; 2016.11.04; 1; АНГЛІЙСЬКА; мова
13; 2016.11.04; 3; АНГЛІЙСЬКА; мова
13; 2016.11.04; 4; ВСТУПДОФАХУ; доц.КРИВОРАКА.Д.
14; 2016.10.31; 2; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
14; 2016.10.31; 3; ГЕОГРАФІЯТУРИЗМУ; доц.ТОДОРОВВ.І.
14; 2016.11.01; 1; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(+ФУФСН); викл.БАШЛИМ.І.
14; 2016.11.01; 2; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.ЯРЧУКГ.В.,ДОЦ.МЕЛЬНИЧУКІ.П.
14; 2016.11.01; 3; ВСТУПДОФАХУ; викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
14; 2016.11.01; 4; РЕКРЕАЛОГІЯ; доц.ТОДОРОВВ.І.
14; 2016.11.01; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; доц.МЕЛЬНИЧУКІ.П.
14; 2016.11.02; 1; АНГЛІЙСЬКА; мова
14; 2016.11.02; 2; РЕКРЕАЛОГІЯ; доц.ТОДОРОВВ.І.
14; 2016.11.02; 3; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(ПР); викл.ВОЛКАНОВАН.В.
14; 2016.11.03; 2; ГЕОГРАФІЯТУРИЗМУ; доц.ТОДОРОВВ.І.
14; 2016.11.03; 3; ВСТУПДОФАХУ; викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
14; 2016.11.03; 4; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
14; 2016.11.04; 1; АНГЛІЙСЬКА; мова
14; 2016.11.04; 3; АНГЛІЙСЬКА; мова
15; 2016.10.31; 2; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
15; 2016.10.31; 3; МАТЕМ.ОСНОВИІНФОРМ.; викл.ЩОГОЛЕВАТ.М.
15; 2016.11.01; 1; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(+ФУФСН); викл.БАШЛИМ.І.
15; 2016.11.01; 2; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.ЯРЧУКГ.В.,ДОЦ.МЕЛЬНИЧУКІ.П.
15; 2016.11.01; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; доц.МЕЛЬНИЧУКІ.П.
15; 2016.11.02; 1; АНГЛІЙСЬКА; мова
15; 2016.11.02; 3; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(ПР); викл.ВОЛКАНОВАН.В.
15; 2016.11.03; 3; МАТЕМ.ОСНОВИІНФОРМ.; викл.ЩОГОЛЕВАТ.М.
15; 2016.11.03; 4; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
15; 2016.11.03; 5; МАТЕМ.ОСНОВИІНФОРМ.; викл.ЩОГОЛЕВАТ.М.
15; 2016.11.04; 1; АНГЛІЙСЬКА; мова
15; 2016.11.04; 3; АНГЛІЙСЬКА; мова
12+16; 2016.10.31; 1; ПСИХОЛОГІЯ(ПР)Д; викл.ПРОКОФ'ЄВАЛ.О.
12+16; 2016.10.31; 2; ЛІНІЙНААЛГЕБРАТААНАЛ.ГЕОМЕТРІЯ; викл.ЩОГОЛЕВАТ.М.
12+16; 2016.10.31; 3; ВСТУПДОФАХУ; доц.МІЗЮКВ.А.
12+16; 2016.10.31; 4; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(ПР); викл.ВОЛКАНОВАН.В.
