Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;
Дні;Пари;11 група;12 група+         16 група;13 група;14 група;15 група;;;;;;;;
Дні;Пари;Трудове навчання та технології;Інформатика +Прикладна математика;Економіка та упраління підприємством;Туризм;Документознавство;;;;;;;;
ПОНЕДІЛОК    12.09;1;;;;Рекреалогія               доц.ТодоровВ.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;2;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                                              доц.Дроздов В.В.;;;;;;;;
ПОНЕДІЛОК    12.09;3;;Лінійна алгебра та анал. геометрія викл. Щоголева Т.М.;Поліекономія                 доц.Криворак А.Д.;Географія туризму                доц. Тодоров В.І.;Інформатика, комп.техн. та ПЗ  викл.Кожухар Ж.В.;;;;;;;;
ПОНЕДІЛОК    12.09;4;;;Математика для економ.                     викл. Щоголєва Т.М.;Вступ до фаху                        викл. Шевченко-Перепьолкіна Р.І.;Основи наукових досліджень             викл.Кожухар Ж.В.;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК   13.09;1;І с т о р і я  т а  к у л ь т у р а  У к р а ї н и     (+ФУФСН)                викл. Башли М.І.;І с т о р і я  т а  к у л ь т у р а  У к р а ї н и     (+ФУФСН)                викл. Башли М.І.;І с т о р і я  т а  к у л ь т у р а  У к р а ї н и     (+ФУФСН)                викл. Башли М.І.;І с т о р і я  т а  к у л ь т у р а  У к р а ї н и     (+ФУФСН)                викл. Башли М.І.;І с т о р і я  т а  к у л ь т у р а  У к р а ї н и     (+ФУФСН)                викл. Башли М.І.;;;;;;;;
ВІВТОРОК   13.09;2;Фізична культура та основи здоров`я людини доц.Ярчук Г.В., доц.Мельничук І.П.;Фізична культура та основи здоров`я людини доц.Ярчук Г.В., доц.Мельничук І.П.;Фізична культура та основи здоров`я людини доц.Ярчук Г.В., доц.Мельничук І.П.;Фізична культура та основи здоров`я людини доц.Ярчук Г.В., доц.Мельничук І.П.;Фізична культура та основи здоров`я людини доц.Ярчук Г.В., доц.Мельничук І.П.;;;;;;;;
ВІВТОРОК   13.09;3;;;;Географія туризму                доц. Тодоров В.І.;Матем.основи інформ.                   викл. Щоголева Т.М.;;;;;;;;
ВІВТОРОК   13.09;4;;Лінійна алгебра та анал. геометрія викл. Щоголева Т.М.;;Вступ до фаху                        викл. Шевченко-Перепьолкіна Р.І.;Інформатика, комп.техн. та ПЗ  викл.Кожухар Ж.В.;;;;;;;;
